Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 13:37,1/1/1900 0:00,EAST,GEORGE,G1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 13:33,2/1/2022 13:33,EAST,GEORGE,G1
RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",2/1/2022 13:13,1/1/1900 0:00,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/1/2022 13:07,2/1/2022 13:07,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 13:03,2/1/2022 13:10,EAST,EDWARD,E3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,DISTURBANCE - OTHER,2/1/2022 13:03,2/1/2022 13:28,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),911,5,TRESPASS,PROWLER - TRESPASS,2/1/2022 12:54,2/1/2022 12:57,WEST,KING,K1
REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - SHOPLIFT,2/1/2022 12:49,2/1/2022 12:49,WEST,MARY,M3
OTHER REPORT MADE,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/1/2022 12:42,2/1/2022 12:42,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),"ASSAULTS, OTHER",2/1/2022 12:35,2/1/2022 12:42,EAST,EDWARD,E2
ORAL WARNING GIVEN,ONVIEW,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - OTHER,2/1/2022 12:26,2/1/2022 12:26,WEST,MARY,M3
ORAL WARNING GIVEN,ONVIEW,3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS - OTHER,2/1/2022 12:21,2/1/2022 12:21,WEST,MARY,M2
ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/1/2022 12:20,2/1/2022 12:20,NORTH,NORA,N2
ASSISTANCE RENDERED,911,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 12:09,1/1/1900 0:00,SOUTH,ROBERT,R2
DUPLICATED OR CANCELLED BY RADIO,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",2/1/2022 12:03,1/1/1900 0:00,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,9,OUT OF CAR/NO REASON GIVEN,OUT OF CAR/NO REASON GIVEN,2/1/2022 11:59,2/1/2022 11:59,EAST,GEORGE,G1
ASSISTANCE RENDERED,911,1,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,DISTURBANCE - OTHER,2/1/2022 11:44,2/1/2022 11:49,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,"FRAUD - FRAUD, INCLUDING BUNCO",2/1/2022 11:31,2/1/2022 11:42,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SICK PERSON,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 11:29,2/1/2022 11:32,NORTH,NORA,N3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 11:24,2/1/2022 12:13,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - ASLT - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",2/1/2022 11:23,2/1/2022 11:23,WEST,QUEEN,Q3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS - HAZARDS,2/1/2022 11:05,2/1/2022 11:25,EAST,GEORGE,G2
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,ASSIGNED DUTY - DETAIL BY SUPERVISOR,2/1/2022 10:57,2/1/2022 10:57,NORTH,NORA,N2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 10:42,2/1/2022 10:42,SOUTHWEST,WILLIAM,W2
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,2/1/2022 10:38,2/1/2022 10:38,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,PREMISE CHECKS - CRIME PREVENTION,2/1/2022 10:36,2/1/2022 10:36,NORTH,LINCOLN,L3
ASSISTANCE RENDERED,911,2,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 10:33,2/1/2022 11:49,NORTH,JOHN,J3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),AUTOMOBILES - ABANDONED CAR,2/1/2022 10:28,2/1/2022 10:28,WEST,QUEEN,Q1
ASSISTANCE RENDERED,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/1/2022 10:27,2/1/2022 10:27,SOUTH,SAM,S1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,2/1/2022 10:18,2/1/2022 10:18,SOUTHWEST,WILLIAM,W1
NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 10:14,2/1/2022 12:43,SOUTH,ROBERT,R3
ASSISTANCE RENDERED,ONVIEW,9,"ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT","ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT",2/1/2022 10:12,2/1/2022 10:12,NORTH,NORA,N3
REPORT WRITTEN (NO ARREST),911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - AUTO ACCESSORIES,2/1/2022 10:10,2/1/2022 12:10,SOUTH,OCEAN,O1
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,2/1/2022 10:05,2/1/2022 10:05,SOUTH,ROBERT,R1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/1/2022 10:04,2/1/2022 12:21,WEST,DAVID,D3
REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - BICYCLE,2/1/2022 10:03,2/1/2022 10:03,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT - ALL OTHER,2/1/2022 10:02,2/1/2022 14:17,WEST,MARY,M2
NON-CRIMINAL REFERRAL,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/1/2022 10:01,2/1/2022 12:28,NORTH,BOY,B2
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/1/2022 9:44,2/1/2022 9:44,SOUTHWEST,WILLIAM,W1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",2/1/2022 9:32,2/1/2022 12:52,WEST,KING,K3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,2/1/2022 9:20,2/1/2022 9:20,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/1/2022 9:13,2/1/2022 9:13,SOUTH,SAM,S1
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - HOSPITAL GUARD,DIRECTED PATROL ACTIVITY,2/1/2022 9:08,2/1/2022 9:08,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SHOPLIFT,THEFT - SHOPLIFT,2/1/2022 9:00,2/1/2022 9:02,NORTH,UNION,U3
ASSISTANCE RENDERED,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),"CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",2/1/2022 8:55,2/1/2022 9:12,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 8:55,2/1/2022 8:55,WEST,KING,K1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 8:38,2/1/2022 8:38,NORTH,BOY,B1
REPORT WRITTEN (NO ARREST),911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/1/2022 8:34,2/1/2022 9:30,WEST,QUEEN,Q3
ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 8:26,2/1/2022 8:36,WEST,KING,K3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 8:14,2/1/2022 8:16,WEST,KING,K3
"INCIDENT LOCATED, PUBLIC ORDER RESTORED",911,2,BURN - RECKLESS BURNING,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 8:08,2/1/2022 8:12,SOUTHWEST,FRANK,F2
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/1/2022 8:08,2/1/2022 8:08,SOUTHWEST,FRANK,F1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 8:07,2/1/2022 8:18,SOUTHWEST,WILLIAM,W1
RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,2/1/2022 7:50,1/1/1900 0:00,WEST,KING,K3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 7:42,1/1/1900 0:00,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",4,PROPERTY - FOUND,THEFT - ALL OTHER,2/1/2022 7:36,2/1/2022 9:56,SOUTHWEST,FRANK,F3
"INCIDENT LOCATED, PUBLIC ORDER RESTORED",911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",NUISANCE - MISCHIEF,2/1/2022 7:34,2/1/2022 7:41,SOUTHWEST,FRANK,F2
PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/1/2022 7:31,2/1/2022 7:31,WEST,MARY,M3
OTHER REPORT MADE,ONVIEW,4,PROPERTY - FOUND,PROPERTY - FOUND PROPERTY,2/1/2022 7:15,2/1/2022 7:15,WEST,MARY,M3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/1/2022 7:13,2/1/2022 7:13,WEST,QUEEN,Q3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 7:04,2/1/2022 7:14,EAST,GEORGE,G1
OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - MOVING VIOLATION,2/1/2022 7:03,2/1/2022 7:03,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/1/2022 6:55,2/1/2022 8:03,NORTH,UNION,U3
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/1/2022 6:49,2/1/2022 6:49,SOUTHWEST,FRANK,F3
OTHER REPORT MADE,ONVIEW,4,SEX OFFENDER - FAILURE TO REGISTER,--SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER,2/1/2022 6:44,2/1/2022 6:44,SOUTH,SAM,S1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PROPERTY - DAMAGE,PROPERTY DEST (DAMG),2/1/2022 6:21,2/1/2022 6:52,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRESPASS,PROWLER - TRESPASS,2/1/2022 6:19,2/1/2022 6:34,NORTH,UNION,U2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 6:17,2/1/2022 6:22,EAST,EDWARD,E2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"DV -VULNERABLE ADULT, PHYSICAL ABUSE",2/1/2022 6:10,2/1/2022 6:23,WEST,QUEEN,Q2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 6:07,1/1/1900 0:00,NORTH,UNION,U1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),DISTURBANCE - OTHER,2/1/2022 6:07,2/1/2022 6:16,EAST,EDWARD,E1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/1/2022 5:51,2/1/2022 5:51,EAST,CHARLIE,C2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FOLLOW UP,AUTOMOBILES - AUTO THEFT,2/1/2022 5:02,2/1/2022 5:02,SOUTH,SAM,S1
REPORT WRITTEN (NO ARREST),911,2,FOUND - PERSON,CRISIS COMPLAINT - GENERAL,2/1/2022 4:35,2/1/2022 4:44,SOUTHWEST,WILLIAM,W1
PHYSICAL ARREST MADE,911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY - NON RESIDENTIAL/COMMERCIAL,2/1/2022 4:24,2/1/2022 4:28,WEST,KING,K1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 4:02,2/1/2022 4:22,SOUTH,OCEAN,O2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,2/1/2022 3:12,2/1/2022 3:24,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 2:12,2/1/2022 2:13,EAST,EDWARD,E3
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 1:51,2/1/2022 4:36,NORTH,BOY,B3
PHYSICAL ARREST MADE,ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - AUTO THEFT & RECOVERY,2/1/2022 1:47,2/1/2022 1:47,WEST,KING,K3
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 1:38,2/1/2022 4:04,WEST,KING,K3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/1/2022 1:32,2/1/2022 1:32,SOUTH,OCEAN,O1
PHYSICAL ARREST MADE,911,2,DOWN - CHECK FOR DOWN PERSON,TRAFFIC - D.U.I.,2/1/2022 1:25,2/1/2022 1:50,SOUTH,ROBERT,R1
REPORT WRITTEN (NO ARREST),911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",PROPERTY DEST (DAMG),2/1/2022 1:15,2/1/2022 3:42,NORTH,UNION,U1
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 0:55,2/1/2022 1:11,SOUTHWEST,WILLIAM,W2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",DISTURBANCE - OTHER,2/1/2022 0:53,2/1/2022 1:54,WEST,MARY,M3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 0:48,2/1/2022 4:31,NORTH,UNION,U2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 0:13,2/1/2022 0:19,NORTH,BOY,B3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,TRAFFIC - MOVING VIOLATION,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,1/31/2022 23:55,1/1/1900 0:00,NORTH,UNION,U1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,1/31/2022 23:54,2/1/2022 0:00,EAST,CHARLIE,C2
REPORT WRITTEN (NO ARREST),911,1,"DISTURBANCE, MISCELLANEOUS/OTHER","DV - ARGUMENTS, DISTURBANCE (NO ARREST)",1/31/2022 23:38,1/31/2022 23:47,NORTH,LINCOLN,L1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,"ARSON, BOMBS, EXPLO - ARSON",1/31/2022 23:06,1/31/2022 23:08,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,1/31/2022 23:00,1/31/2022 23:43,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,THEFT - ALL OTHER,1/31/2022 22:54,1/31/2022 22:54,SOUTHWEST,WILLIAM,W1
REPORT WRITTEN (NO ARREST),911,2,ORDER - VIOLATING DV COURT ORDER,DV - ENFORCE COURT ORDER (ARREST MANDATED),1/31/2022 22:35,1/31/2022 23:14,EAST,GEORGE,G2
-,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,1/31/2022 22:23,1/31/2022 22:34,EAST,CHARLIE,C2
ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,1/31/2022 21:59,1/31/2022 23:35,SOUTHWEST,FRANK,F1
-,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),1/31/2022 21:45,1/31/2022 23:11,EAST,CHARLIE,C1
PHYSICAL ARREST MADE,ONVIEW,2,VICE - PROSTITUTION,VICE - PROSTITUTION,1/31/2022 21:42,1/31/2022 21:42,NORTH,NORA,N2
ASSISTANCE RENDERED,911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,ASSIST OTHER AGENCY - STATE AGENCY,1/31/2022 21:39,1/31/2022 21:43,NORTH,BOY,B3
REPORT WRITTEN (NO ARREST),ONVIEW,3,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),"ASSAULTS, OTHER",1/31/2022 21:37,1/31/2022 21:37,NORTH,UNION,U2
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,1/31/2022 21:34,1/1/1900 0:00,EAST,EDWARD,E1
ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),1/31/2022 21:29,1/31/2022 22:26,NORTH,NORA,N2
-,911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,1/31/2022 21:28,2/1/2022 2:26,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),911,2,DIST - DV - NO ASLT,DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),1/31/2022 21:22,1/31/2022 21:38,NORTH,JOHN,J2
ASSISTANCE RENDERED,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCE - OTHER,1/31/2022 21:10,1/31/2022 21:11,WEST,KING,K3
REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,"DV - ARGUMENTS, DISTURBANCE (NO ARREST)",1/31/2022 21:09,1/31/2022 21:24,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),1/31/2022 21:07,1/31/2022 21:12,NORTH,BOY,B3
OTHER REPORT MADE,911,2,TRESPASS,PROWLER - TRESPASS,1/31/2022 20:54,1/31/2022 21:16,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,ROBBERY - IP/JO (INCLUDES STRONG ARM),DISTURBANCE - FIGHT,1/31/2022 20:37,1/31/2022 20:45,NORTH,NORA,N3
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,1/31/2022 20:32,1/31/2022 21:35,EAST,EDWARD,E1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,1/31/2022 20:28,1/31/2022 20:51,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,1/31/2022 20:27,1/31/2022 20:35,SOUTHWEST,FRANK,F1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - RESIDENTIAL BURGLARY,BURGLARY - UNOCC STRUC ON RESN PROP,1/31/2022 20:26,1/31/2022 20:27,NORTH,UNION,U1
-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",1/31/2022 20:26,1/31/2022 20:26,NORTH,BOY,B3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,1/31/2022 20:13,1/31/2022 20:20,SOUTH,OCEAN,O2
ASSISTANCE RENDERED,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,1/31/2022 19:58,1/1/1900 0:00,SOUTH,SAM,S2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,1/31/2022 19:57,1/31/2022 20:23,WEST,DAVID,D3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),1/31/2022 19:47,1/31/2022 19:47,NORTH,UNION,U3
ASSISTANCE RENDERED,ONVIEW,9,ASSIGNED DUTY - DETAIL BY SUPERVISOR,DIRECTED PATROL ACTIVITY,1/31/2022 19:47,1/31/2022 19:47,NORTH,UNION,U3
PHYSICAL ARREST MADE,911,2,SHOPLIFT - THEFT,BURGLARY - NON RESIDENTIAL/COMMERCIAL,1/31/2022 19:33,1/31/2022 19:39,SOUTHWEST,FRANK,F1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,1/31/2022 19:22,1/31/2022 19:53,EAST,CHARLIE,C2
REPORT WRITTEN (NO ARREST),911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,1/31/2022 19:01,1/31/2022 19:12,WEST,KING,K2
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,1/31/2022 18:52,1/31/2022 18:52,NORTH,UNION,U2
